#	English - EN	Spanish - ES	#Korean - KO	Chinese Simplified - ZH	#Chinese Traditional - ZH	#Japanese - JA	#Russian - RU	French - FR
#VERSION								
#								
LAUNCH_NOT_DETECTED	Launcher not detected...	Launcher no detectado...	버전 확인중...	新版检查中...	檢查版本...	バージョンを確認しています…	Лаунчер не обнаружен...	Vérification de la version...
FILES_PORT	PORT	PUERTO	포트	端口号	埠	ポート	ПОРТ	PORT
FILES_CONNECT	CONNECT	CONECTAR	접속	连接	連接	接続	ПРИСОЕДИНИТЬСЯ	CONNECTER
FILES_LOBBY_DATA	LOBBY DATA	DATOS DE LOBBY	로비 정보	大厅信息	大廳信息	ロビーデータ	ИНФОРМАЦИЯ О ЛОББИ	DONNÉES DU LOBBY
FILES_PASSWORD	PASSWORD	CLAVE	비밀번호	密码	密碼	パスワード	ПАРОЛЬ	MOT DE PASSE
FILES_CREATE	CREATE	CREAR	생성	创建房间	創建房間	作成	СОЗДАТЬ	CRÉER
FILES_JOIN	JOIN	UNIRSE	접속	加入房间	加入房間	参加	ВОЙТИ	REJOINDRE
FILES_LIST	LIST	LISTA	목록	房间列表	房間列表	リスト	СПИСОК	LISTE
FILES_REFRESH	REFRESH	REFRESCAR	새로고침	刷新	刷新	更新	ОБНОВИТЬ	RAFFRAICHIR
FILES_ENTER_IP	Enter the IP.	Introduce la IP.	IP를 입력하세요.	输入IP	輸入IP	IPを入れてください。	Введите IP	Entrez l'adresse IP.
FILES_ENTER_PORT	Enter the port.	Introduce el puerto.	포트 번호를 입력하세요.	输入端口号	輸入埠	ポート番号を入れてください。	Введите порт	Entrez le port.
FILES_ENTER_LOBBY_NAME	Enter the lobby's name.	Introduce el nombre del lobby.	로비 이름을 입력하세요.	输入房间名	輸入房間名稱	ロビー名を入れてください。	Введите имя лобби	Entrez le nom du lobby.
FILES_ENTER_PASSWORD	Enter the password.	Introduce la clave.	비밀번호를 입력하세요.	输入密码	輸入密碼	パスワードを入れてください。	Введите пароль	Entrez le mot de passe.
FILES_KICK	KICK	SACAR	강퇴	踢出	踢出	追放	ВЫГНАТЬ	EXPULSER
#								
#SETTINGS								
#								
SETTINGS_VOLUME	VOLUME	VOLUMEN	음량	声音	聲音	音量	ГРОМКОСТЬ	VOLUME
SETTINGS_VOLUME_MASTER	MASTER	GENERAL	전체 음량	主音量	主音量	全体	ОБЩАЯ ГРОМКОСТЬ	GÉNÉRAL
SETTINGS_VOLUME_BGM	BGM	MÚSICA	배경음악	音乐	音樂	音楽	МУЗЫКА	MUSIQUE
SETTINGS_VOLUME_SFX	SFX	EFECTOS	효과음	音效	音效	効果音	ЭФФЕКТЫ	EFFETS SONORES
SETTINGS_DISPLAY	DISPLAY	VENTANA	화면	显示	展示	画面	ЭКРАН	AFFICHAGE
SETTINGS_DISPLAY_FULLSCREEN	FULLSCREEN	P. COMPLETA	전체화면	全屏	全螢幕	フルスクリーン	ПОЛНЫЙ ЭКРАН	PLEIN ÉCRAN
SETTINGS_DISPLAY_VSYNC	VSYNC	SINC. V.	수직동기화	垂直同步	垂直同步	垂直同期	ВЕРТИКАЛЬНАЯ СИНХРОНИЗАЦИЯ	SYNCHRONISATION VERTICALE
SETTINGS_DISPLAY_SMOOTH	SMOOTH	SUAVIZADO	스무딩 필터	抗锯齿	抗鋸齒	SMOOTH	РАЗМЫТИЕ	LISSE
SETTINGS_GAME	GAME	JUEGO		游戏	遊戲	GAME	ИГРА	
SETTINGS_GAME_LANGUAGE	LANGUAGE	IDIOMA	언어	语言	語言	言語	ЯЗЫК	LANGUE
SETTINGS_GAME_ENGLISH	ENGLISH	ENGLISH	ENGLISH	ENGLISH	ENGLISH	ENGLISH	ENGLISH	ENGLISH
SETTINGS_GAME_SPANISH	ESPAÑOL	ESPAÑOL	ESPAÑOL	ESPAÑOL	ESPAÑOL	ESPAÑOL	ESPAÑOL	ESPAÑOL
SETTINGS_GAME_KOREAN	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어
SETTINGS_GAME_CHINESE_SIMPLIFIED	简体中文	简体中文	简体中文	简体中文	简体中文	简体中文	简体中文	简体中文
SETTINGS_GAME_CHINESE_TRADITIONAL	繁體中文	繁體中文	繁體中文	繁體中文	繁體中文	繁體中文	繁體中文	繁體中文
SETTINGS_GAME_JAPANESE	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語
SETTINGS_GAME_RUSSIAN	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский
SETTINGS_GAME_FRENCH	Français	Français	Français	Français	Français	Français	Français	Français
SETTINGS_GAME_REMEMBER	Remember to close the game for the Language to apply correctly!	¡Recuerda cerrar el juego para que el Idioma se aplique correctamente!				再起動すると言語が反映されます。	Помни, что для правильного применения Языка необходимо перезапустить игру!	
SETTINGS_CONTROLS	CONTROLS	CONTROLES	조작	键位设置	按鍵設置	操作	УПРАВЛЕНИЕ	CONTRÔLES
SETTINGS_CONTROLS_LEFT	LEFT	IZQUIERDA	왼쪽	左	左	左	ЛЕВО	GAUCHE
SETTINGS_CONTROLS_RIGHT	RIGHT	DERECHA	오른쪽	右	右	右	ПРАВО	DROITE
SETTINGS_CONTROLS_UP	UP	ARRIBA	위	上	上	上	ВВЕРХ	HAUT
SETTINGS_CONTROLS_DOWN	DOWN	ABAJO	아래	下	下	下	ВНИЗ	BAS
SETTINGS_CONTROLS_JUMP	JUMP	SALTO	점프	跳跃	跳躍	ジャンプ	ПРЫЖОК	SAUT
SETTINGS_CONTROLS_SHOOT	SHOOT	DISPARO	총	射击	射擊	ショット	ВЫСТРЕЛ	TIRER
SETTINGS_CONTROLS_MISC	MISC.	MISC.	기타	杂项	雜項	特殊	РАЗНОЕ	DIVERS
SETTINGS_CONTROLS_PAUSE	PAUSE	PAUSA	일시정지	暂停	暫停	ポーズ	ПАУЗА	PAUSE
SETTINGS_CONTROLS_RESET_DEFAULTS	RESET TO DEFAULTS	PREDETERMINADOS	기본값으로 초기화	重置	重置	デフォルトに戻す	СБРОС НАСТРОЕК	RÉINITIALISER
SETTINGS_CONTROLS_HOTSWAP	HOTSWAP	HOTSWAP	핫스왑	热切换	熱切換	ホットスワップ	Хотсвап	HOTSWAP
#								
#PAUSE								
#								
PAUSE_PAUSE	PAUSE	PAUSA	일시정지	暂停	暫停	ポーズ	ПАУЗА	PAUSE
PAUSE_RESUME	Resume	Reanudar	재개	继续	繼續	戻る	Продолжить	Reprendre
PAUSE_SETTINGS	Settings	Configuración	설정	设置	設置	設定	Настройки	Paramètres
PAUSE_BACK_TO_FILES	Back To Files	Volver a la Data	파일 메뉴로 돌아가기	返回存档界面	返回存檔介面	ファイルセレクトへ戻る	Вернуться к файлам	Retour aux fichiers
PAUSE_BACK_TO_MODES	Back To Modes	Volver a los Modos	모드 메뉴로 돌아가기	返回模式选择界面	返回模式選擇介面	モードセレクトへ戻る	Вернуться к режимам	Retour aux modes
PAUSE_BACK_TO_OVERVIEW	Back To Overview	Volver a las Intrucciones		返回概览界面	返回概覽介面	ゲーム説明へ戻る	Вернуться к обзору	Retour à l'aperçu
PAUSE_BACK_TO_TRIALS	Back To Trials	Volver a los Retos	도전 메뉴로 돌아가기	返回挑战界面	返回挑戰介面	トライアルへ戻る	Вернуться к испытаниям	Retour aux épreuves
PAUSE_EXIT_LOBBY	Exit Lobby	Salir del Lobby	로비 나가기	退出大厅	退出大廳	ロビーを出る	Выйти из лобби	Quitter le lobby
#								
#MODES								
#								
MODES_PARTY	PARTY	FIESTA	파티	派对	派對	パーティー	ВЕЧЕРИНКА	PARTY
MODES_PARTY_DESCRIPTION	Play on a Board, collect the most Shines and become the party star!	¡Juega en un Tablero y consigue muchos Soles para ser la estrella de la fiesta!	보드판 위에서 플레이하며 샤인을 많이 모아 파티 스타가 되세요!	在棋盘上冒险，收集最多的太阳，成为超级巨星吧！	在棋盤上冒險，收集最多的太陽，成為超級巨星吧！	パーティーを遊ぶことができます。シャインを集めてパーティースターになろう！	Сыграйте в настолку, соберите как можно больше Шайни и станьте героем вечеринки!	Jouez sur un plateau, collectez le plus de Soleils et devenez une super-star !
MODES_MINIGAMES	MINIGAMES	MINIJUEGOS	미니게임	小游戏	小遊戲	ミニゲーム	МИНИИГРЫ	MINI-JEUX
MODES_MINIGAMES_DESCRIPTION	Play and enjoy all the minigames!	¡Juega y disfruta de los Minijuegos!	모든 미니게임을 여기서 즐기세요!	享受所有的小游戏吧！	玩和享受所有的小遊戲吧！	ミニゲームをプレイすることができます。	Сыграйте во все миниигры/Сыграйте и насладитесь всеми минииграми!	Jouez et profitez de tous les mini-jeux !
MODES_TRIALS	TRIALS	RETOS	시련	挑战	挑戰	トライアル	ИСПЫТАНИЯ	ÉPREUVES
MODES_TRIALS_DESCRIPTION	Different minigames packed together in all sorts of whacky ways!	¡Diferentes Minijuegos agrupados en todo tipo de maneras descabelladas!	여러가지 색다른 방식으로 미니게임을 즐겨보세요!	各种奇怪规则下的小游戏挑战！	各種小遊戲以各種奇怪的方式組合在一起！	テーマに合わせて強化されたミニゲームをプレイすることができます。	Различные миниигры собраны вместе в самых разных испытаниях!	Différents mini-jeux regroupés ensemble de toutes sortes de manières insolites !
MODES_STORE	STORE	TIENDA	상점	商店	商店	ショップ	МАГАЗИН	BOUTIQUE
MODES_STORE_DESCRIPTION	Buy all sorts of different things to spice up the game	¡Compra diferentes artículos para animar el juego!	게임을 여러분의 입맛대로 바꿔줄 다양한 아이템을 여기서 구매하세요!	购买不同道具来获得更多游戏趣味。	購買不同的道具來為遊戲增添趣味。	スキンやステージ、トライアルやミニゲームを購入することができます。	Покупайте различные вещи чтобы разнообразить игровой процесс.	Achetez toutes sortes de choses différentes pour pimenter le jeu.
MODES_TROPHIES	TROPHIES	TROFEOS	트로피	奖杯	獎盃	トロフィー	ТРОФЕИ	TROPHÉES
MODES_TROPHIES_DESCRIPTION	All the trophies you've earned are stored here!	¡Todos los trofeos que has conseguido se guardan aquí!	여러분이 얻은 모든 트로피는 여기서 보실 수 있습니다!	这里会展示你获得的所有奖杯！	您獲得的所有獎盃都存放在這裡！	今までに獲得したトロフィーを見ることができます。	Все заработанные вами трофеи хранятся здесь!	Tous les trophées que vous avez gagnés sont stockés ici !
#								
#MODE PARTY								
#								
PARTY_TURNS	Turns	Turnos	턴	回合数	回合數	ターン数	Ходы	Tours
PARTY_TURN	Turn	Turno	턴	回合	回合	ターン	Ход	Tour
PARTY_BONUS	Bonus	Bonus	보너스	额外奖励	額外獎勵	ボーナス	Бонус	Bonus
PARTY_RESUME	Resume	Resumir		继续	繼續	続ける	Вернуться	Reprendre
PARTY_DECLINE	Decline	Declinar		取消	取消	やめる	Отказаться	Refuser
PARTY_DICE	Dice	Dado	주사위	骰子	骰子	サイコロ	Игральная кость	Dé
PARTY_ITEMS	Items	Objs.	아이템	道具	道具	アイテム	Предметы	Objects
PARTY_MAP	Map	Mapa	지도	地图	地圖	マップ	Карта	Carte
PARTY_REACTIONS	Reactions	Reacciones	리액션	表情	反應	リアクション	Реакции	Réactions
PARTY_REACT	React	Reaccionar	리액션	发送	發送	送信	Отреагировать	Réagir
PARTY_MASH	Mash	Oprime	연타	连击	連擊	連打	Клацать	Écraser
#								
#MODE TRIALS								
#								
TRIALS_RETRY	Retry	Reintentar	재도전	重试	重試	リトライ	Попробовать снова	Recommencer
#								
#MODE STORE								
#								
STORE_MAKER	Maker	Creador	제작자	作者	作者	制作者	Создатель	Créateur
STORE_MINIGAMES	Minigames	Minijuegos	미니게임	小游戏	小遊戲	ミニゲーム	Мини-игры	Mini-jeux
STORE_SORTED_BY	Sorted By	Agrupar Por	정렬:	排序方式	排序	並べ替え	Отсортировано по	Trié par
STORE_SORTED_DEFAULT	Default	Defecto	기본	默认	默認	デフォルト	Стандартно	Défault
STORE_SORTED_ASCENDING	Price (Ascending)	Precio (Ascendente)	가격 (오름차순)	价格（升序）	價格（升序）	価格 (安い順)	Цена (по возрастанию)	Prix (croissant)
STORE_SORTED_DESCENDING	Price (Descending)	Precio (Descendente)	가격 (내림차순)	价格（降序）	價格（降序）	価格 (高い順)	Цена (по убыванию)	Prix (décroissant)
STORE_SORTED_NAME	Name	Nombre	이름	名称	名稱	名前	Имя	Nom
#								
#MODE TROPHIES								
#								
TROPHIES_HINT	Hint	Pista	힌트	提示	提示	ヒント	Подсказка	Indice
TROPHIES_SPOILER	Spoiler	Revelar	스포일러	剧透	劇透	ネタバレ	Спойлер	Spoiler
#								
#BOARD WELCOME AND RULES								
#								
PARTY_BOARD_HEAR	Would you like to hear about this Board?	¿Te gustaría escuchar sobre este tablero?	보드에 대한 설명을 들으시겠어요?	你想要了解这张地图的介绍吗？	你想要了解這張地圖的介紹嗎？	このステージについて説明を聞きますか？	Хотели бы вы узнать об этой доске?	Voulez-vous des infos sur ce plateau ?
PARTY_BOARD_ISLAND_NAME	Island	Isla	섬	耀西岛	耀西島	アイランド	Остров	Archipel
PARTY_BOARD_ISLAND_WELCOME	Welcome to the island! There's pretty much only ocean surrounding it. But it's still pretty nice!	¡Bienvenidos a la isla!. Prácticamente solo hay mar rodeándola, ¡pero sigue siendo bastante agradable!	섬에 오신것을 환영합니다! 주변에 보이는게 딱히 바다밖에 없지만, 그래도 꽤 괜찮은 곳이네요!	欢迎来到耀西岛！这里四处环海，风景优美！	歡迎來到耀西島上！它周圍幾乎只有海洋。但它仍然很不 錯！	アイランドへようこそ！ この島は海に囲まれてて、凄く良い場所！	Добро пожаловать на остров! По большому счёту его окружает лишь океан. Но он всё равно довольно неплох!	Bienvenue sur l'archipel ! Il y a seulement l'océan tout autour, mais c'est quand même plutôt agréable !
PARTY_BOARD_ISLAND_RULES_1	This Board has a 3 turn cycle between day and night.	Este Tablero tiene un ciclo de 3 turnos entre día y noche.	이 보드는 3턴마다 밤낮이 바뀝니다.	地图每三个回合切换昼夜。	這張地圖每三個回合後會切換白天和黑夜。	このステージでは、昼と夜が3ターンごとに入れ替わります。	Эта доска имеет цикл в 3 хода по смене дня и ночи.	Ce plateau a un cycle de 3 tours entre le jour et la nuit.
PARTY_BOARD_ISLAND_RULES_2	At day you can use the Shop but can't use the Blackhole. At night you can use the Blackhole but can't use the Shop.	Durante el día puedes usar la Tienda, pero no puedes usar el Agujero Negro. Y, durante la noche, puedes usar el Agujero negro, pero no la Tienda.	낮에는 상점을 이용할 수 있지만 블랙홀을 사용하지 못하고, 반대로 밤에는 블랙홀이 사용 가능하지만 상점을 이용하지 못합니다.	在白天你可以进入商店但是不能使用黑洞。在晚上你可以使用黑洞但是不能进入商店。	在白天你可以進入商店但是不能使用黑洞。在晚上你 可以使用黑洞但是不能進入商店。	昼間はショップを利用することができますが、ブラックホールは使うことができません。反対に夜はブラックホールが使えますが、ショップは利用できません。	Днём вы можете использовать Магазин, однако не можете использовать Черную Дыру. Ночью же наоборот, вы можете использовать Черную Дыру, но не Магазин.	Pendant le jour, vous pouvez utiliser la boutique mais vous ne pouvez pas utiliser le trou noir. Pendant la nuit, vous pouvez utiliser le trou noir mais vous ne pouvez pas utiliser la boutique.
PARTY_BOARD_ISLAND_RULES_3	Also, the Shine will have a random price at night. It can be {40 coins} {30 coins} {10 coins} and {0 coins}! All Shines will stay at this price for the rest of the turn.	Cuando es un turno nocturno, el Sol tendrá un precio aleatorio. Puede ser {40 coins}, {30 coins}, {10 coins}, ¡y {0 coins}!. Tendrá ese precio durante el resto del turno.	밤에는 샤인의 가격이 무작위 하게 바뀝니다. 가격은 {40 coins} {30 coins} {10 coins}, 심지어 {0 coins}이 될 수 있습니다! 남은 턴 동안 가격은 동일하게 유지됩니다.	并且太阳在晚上的价格将随机为 {40 coins} {30 coins} {10 coins} 或 {0 coins} ！每回合太阳的价格都是固定的。	當輪到晚上時，太陽將有一個隨機價格，可以是{40  coins} {30 coins} {10 coins} 或 {0 coins}！每回合太陽 的價格都是固定的。	また、シャインの値段は夜の時ランダムになり、{40 coins} {30 coins} {10 coins} {0 coins}のいずれかで購入できます！	Ещё, ночью у Шайни будет случайная цена. Она может стоить как  {40 coins}, {30 coins}, {10 coins}, так и вовсе {0 coins}! Цена Шайни сохраняется до конца хода.	De plus, le prix du Soleil sera aléatoire pendant la nuit. Il peut être de {40 coins}, {30 coins}, {10 coins} et {0 coins} ! Tous les Soleils resteront à ce prix pour le reste du tour.
PARTY_BOARD_HOTLAND_NAME	Hotland	Tierras Calientes	핫랜드	热域	熱域	ホットランド	Жаркоземье	Calciterre
PARTY_BOARD_HOTLAND_WELCOME	Welcome! My it's really hot in here... hope you don't mind the heat too much!	¡Bienvenidos! Vaya, sí que hace calor aquí... ¡Espero no les moleste mucho el calor!		欢迎！天气好热啊……希望你没有中暑！	歡迎！我的天，這裡真的很熱……希望您不要太介意 高溫！	ホットランドへようこそ！ここはとても暑いけど気にしないでね！	Добро пожаловать! О божечки, тут довольно жарко... надеюсь, вас это не сильно побеспокоит!	Bienvenue ! Il fait vraiment chaud ici... j'espère que la chaleur ne vous dérange pas trop !
PARTY_BOARD_HOTLAND_RULES_1	Two Shines are present on this Board. The goal is to purchase the correct Shine! One of them is fake and the other is real. You won't know until you pay for it!	Dos Soles se mostrarán en este Tablero. La meta será comprar el Sol correcto, uno de ellos es falso y el otro es real. ¡No sabrás cuál es cual hasta que compres uno de ellos!	이 보드에는 샤인이 두개가 있습니다. 올바른 샤인을 구매하는것이 여러분의 목표입니다! 둘 중 하나는 진짜고 하나는 가짜입니다만, 구매하기 전까진 구분을 못한답니다!	这张地图可以同时存在两个太阳，其中一个是真的一个是假的。你的目标是购买真的太阳，但是在你购买之前无法确认真假。	這張地圖同時存在兩個太陽，其中有一個是真的有一 個是假的。你的目標是購買真的太陽，但是在你購買 之前你無法確認真假。	このマップには2つのシャインがあります。コインを使ってシャインを手に入れましょう。ただし、その中には偽シャインも紛れています。プレイヤーはコインを支払うまでどのシャインが偽物なのか分かりません。	На этой Доске есть два Шайни. Целью является купить правильную Шайни! Одна из них поддельная, а другая - реальная. Это можно узнать лишь купив её!	Deux Soleils sont présents sur ce plateau. Le but est d'acheter le bon Soleil ! L'un d'entre eux est un faux, l'autre est réel. Vous ne le saurez pas avant de l'avoir payé !
PARTY_BOARD_HOTLAND_RULES_2	Once the fake Shine is discovered the other one is guaranteed to be real. If the real one is obtained, the fake one will disappear and two more Shines will spawn.	Una vez que el Sol falso es encontrado está asegurado que el otro sea real. Si el real es obtenido primero, el falso desaparecerá y reaparecerán dos Soles más.	만약 가짜 샤인이 밝혀진다면 남은 하나는 진짜로 확정됩니다. 만약 진짜 샤인을 누가 획득한다면, 가짜 샤인은 사라지고 샤인 2개가 더 나타납니다.	当有人购买了假太阳后，剩下的那个太阳一定是真的。如果有人购买了真的太阳，假的太阳将会消失，然后重新生成一对新的真假太阳。	一旦有人發現假的太陽，就可以保證另一個是真的。  如果有人購買了真的太陽，假的太陽就會消失，並且 會另外生成一對新的真假太陽。	偽シャインだと分かれば、もう1つのシャインは本物であることが分かります。シャインが手に入れば、偽シャインは消え、また2つのシャインが生まれます。	Когда поддельная Шайни обнаружена, другая Шайни гарантированно будет настоящей. Если настоящая Шайни была взята, то поддельная пропадёт и появится ещё 2 новые Шайни.	Une fois que le faux Soleil est découvert, l'autre est garanti d'être le bon. Si le bon est obtenu, la faux disparaîtra et deux autres Soleils apparaîtront.
PARTY_BOARD_BABA_NAME	Baba Is Board	Baba Es Tablero	Baba Is Board	Baba Is Board	Baba Is Board	Baba is Board	Баба это Доска	Baba Est Plateau
PARTY_BOARD_BABA_WELCOME	Welcome to drawings everywhere! Let's hope for no puzzle shenanigans.	¡Bienvenido a donde hay dibujos por doquier! Esperemos que no hayan travesuras con puzzles.		欢迎来到画中世界！希望这里没有谜题机关。	歡迎來到畫中世界！希望這裡沒有謎題機關。	どこでもお絵かきへようこそ！パズルの悪ふざけがないことを祈ろう。	Добро пожаловать в нарисованный мир! Надеюсь здесь не будет никаких странных пазлов.	Bienvenue aux dessins partout ! Espérons que les puzzles ne nous cassent pas trop la tête.
PARTY_BOARD_BABA_RULES_1	There's some puzzle blocks on some paths, those blocks are toggled everytime you cross them.	Hay algunos bloques de puzzle en ciertos caminos. Estos bloques se alternan cada vez que te topas con ellos.		一些路径上有规则文字，这些文字每次在有人经过的时候都会切换连接。	一些路徑上有規則文字，這些文字在每次有人經過的時候都會切換。	いくつかの道にはパズルブロックがあり、横切るたびに切り替わります。	Здесь есть несколько пазловых блоков на некоторых путях, они активируются каждый раз когда вы проходите по ним.	Il y a des blocs de puzzle sur certains chemins, ces blocs s'activent ou se désactivent à chaque fois que vous passez devant.
PARTY_BOARD_BABA_RULES_2	There's a block pair for Shines, one for Spaces, and another for Shops. Depending on what the text says on the rightmost block, that's the thing it's gonna apply.	Hay un par de bloques para Soles, uno para Espacios y otro para Tiendas. Dependiendo de lo que diga el texto del bloque a la derecha, es lo que se va a aplicar.		规则文字有三种组合，一种是对应的太阳，一种是对应的格子，剩下的一种对应的是商店。根据最右侧的文字描述，其最终效果也会不同。	文字有三種組合，一種是對應的太陽，一種是對應的格子，最後一種對應的是商店。根據最右側的文字描述，其效果也會不同。	シャイン用、マス用、ショップ用のブロックがあり、一番右のブロックに何が書かれているかによって変わります。	Есть пара блоков специально для Шайни, также один для каждой Клетки, и другой для Магазинов. В зависимости от того, что написано на самом правом блоке, то будет применено.	Il y a une paire de blocs pour les Soleils, les Cases et les Boutiques. Selon ce que dit le texte à droite, c'est ce qui va s'appliquer.
PARTY_BOARD_BABA_RULES_3	The text from that block changes every turn, so be careful!	El texto de ese bloque cambia en cada turno, ¡así que ten cuidado!		而最右侧的文字每回合都会变化，所以要小心！	而最右側的文字每次都會發生變化，所以要小心！	ブロックの文は毎ターン変わるので、注意しよう！	Каждый ход эти блоки меняют свой текст, так что будьте осторожны!	Le texte de ce bloc change à chaque tour, donc soyez prudents !
PARTY_BOARD_PALLET_NAME	Pallet Town	Pueblo Paleta	태초마을	真新镇	真新鎮	パレットタウン	Паллет Таун	Bourg Palette
PARTY_BOARD_PALLET_WELCOME	Welcome to the world of Pokemon! Gotta catch 'em all!	¡Bienvenido al mundo de los Pokémon! ¡Atrápalos a todos!	포켓몬 세계에 온 것을 환영합니다! 우리 모두의 꿈은 포켓몬 마스터!	欢迎来到宝可梦大陆！我抓到了！	歡迎來到神奇寶貝大陸！我要全部捕捉！	ポケモンの世界へようこそ！全員捕まえよう！	Добро пожаловать в мир Покемонов! Поймай их всех!	Bienvenue dans le monde des Pokémon ! Attrapez-les tous !
PARTY_BOARD_PALLET_RULES_1	Here your objective is to fight Pokemon, and win their Shines.	Aquí tu objetivo es combatir contra Pokémon y conseguir sus Soles.	이 보드의 주 목표는 포켓몬과 배틀을 하여 샤인을 얻는 것입니다,	你的目标是和精灵战斗，并且赢取他们的太阳。	你的目標是和神奇寶貝戰鬥，並贏取他們的太陽。	ここでは、ポケモン達と戦い、シャインを手に入れてもらいます。	На этой доске цель состоит в том, чтобы сражаться с Покемонами и выигрывать у них Шайни.	Ici, votre objectif est de combattre des Pokémon et de remporter leurs Soleils.
PARTY_BOARD_PALLET_RULES_2	When you pass over a Pokemon Space, you will have the option to catch that Pokemon for {15 coins} or to battle it.	Cuando pases sobre una casilla de Pokémon tendrás la opción de capturar dicho Pokémon por {15 coins} o combatir contra él.	포켓몬이 있는 칸을 지나가게 된다면, {15 coins}을 지불하고 포켓몬을 잡거나, 배틀을 할 수 있습니다.	每当你路过一只精灵，你可以选择花费 {15 coins} 捕获它，或者和它战斗。	當您經過神奇寶貝時，您可以選擇以 {15 coins} 捕獲該神奇寶貝或與之戰鬥。	ポケモンのマスを通ると、{15 coins}でそのポケモンを捕まえるか、バトルするかが選べます。	Каждый раз, когда вы проходите через Клетку с Покемоном, у вас будет возможность поймать его {15 coins}, либо же сразиться с ним.	Lorsque vous passez sur une Case Pokémon, vous aurez la possibilité de capturer ce Pokémon pour {15 coins} ou de le combattre.
PARTY_BOARD_PALLET_RULES_3	If you win against a Pokemon that has a Shine, you'll obtain it. If you win against a Pokemon with no Shine, it'll give you {10 coins}. If you lose however, you'll lose {10 coins}.	Si ganas contra un Pokémon que tiene un Sol, lo obtendrás. Si ganas contra un Pokémon sin Sol, te dará {10 coins}. En cambio si pierdes, perderás {10 coins}.	샤인을 갖고 있는 포켓몬과 배틀해서 이긴다면, 샤인을 얻을 수 있습니다. 샤인을 갖고있지 않은 포켓몬을 상대로 이긴다면, {10 coins}을 얻습니다. 하지만 만약 배틀에서 지게된다면, {10 coins}을 잃게됩니다.	如果你战胜了一只携带太阳的精灵，你就会获得它的太阳。如果你战胜了一只没有携带太阳的精灵，你会获得 {10 coins} 。反之如果你输了，你会失去 {10 coins} 。	如果你戰勝了擁有太陽的神奇寶貝，你就會獲得太陽。如果您戰勝了沒有太陽的神奇寶貝，您將獲得 {10 coins}。但是，如果您輸了，您將損失 {10 coins}。	シャインを持っているポケモンに勝つと、シャインを手に入れることができます。シャインを持っていなければ、{10 coins}をもらえます。しかし、負けると{10 coins}を失います。	Если вы победите в битве Покемона, у которого был Шайни, вы получите его Шайни. Если же у Покемона не было Шайни, то тот даст вам {10 coins}. При проигрыше, вы потеряете {10 coins}.	Si vous gagnez contre un Pokémon qui possède un Soleil, vous l'obtiendrez. Si vous gagnez contre un Pokémon sans Soleil, il vous donnera {10 coins}. Si vous perdez, en revanche, vous perdrez {10 coins}.
